ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,CALL,MEAN_REVERSION,2025-10-10T10:59:00-04:00,2025-10-10T11:00:00-04:00,2.4090,1.5900,10,0.420,669.16,667.21,-0.3400,-819.00,STOP_LOSS,68,1.0,14.4,-0.503,10.0,-2.02
SPY,PUT,MEAN_REVERSION,2025-10-14T11:47:00-04:00,2025-10-14T11:51:00-04:00,2.3827,2.0383,10,0.420,661.86,662.68,-0.1445,-344.40,STOP_LOSS,54,4.0,79.1,1.151,13.5,1.84
SPY,PUT,MEAN_REVERSION,2025-10-14T11:53:00-04:00,2025-10-14T12:05:00-04:00,2.3864,2.6888,10,0.420,662.90,662.18,0.1267,302.40,TIME_STOP,72,12.0,86.1,1.134,17.9,2.16
SPY,PUT,MEAN_REVERSION,2025-10-16T10:44:00-04:00,2025-10-16T10:55:00-04:00,2.4065,2.6837,10,0.420,668.47,667.81,0.1152,277.20,TRAILING_STOP,63,11.0,75.3,1.087,14.0,2.73
SPY,PUT,MEAN_REVERSION,2025-10-21T10:59:00-04:00,2025-10-21T11:11:00-04:00,2.4213,2.3835,10,0.420,672.57,672.66,-0.0156,-37.80,TIME_STOP,55,12.0,76.7,1.020,15.5,2.59
SPY,PUT,MEAN_REVERSION,2025-10-24T11:23:00-04:00,2025-10-24T11:35:00-04:00,2.4415,2.5675,10,0.420,678.19,677.89,0.0516,126.00,TIME_STOP,61,12.0,78.0,1.046,17.9,2.23
SPY,CALL,MEAN_REVERSION,2025-10-28T11:35:00-04:00,2025-10-28T11:47:00-04:00,2.4664,2.5294,10,0.420,685.10,685.25,0.0255,63.00,TIME_STOP,52,12.0,22.9,-0.122,17.3,-1.94
SPY,CALL,MEAN_REVERSION,2025-10-29T10:50:00-04:00,2025-10-29T11:02:00-04:00,2.4768,2.6700,10,0.420,688.00,688.46,0.0780,193.20,TIME_STOP,57,12.0,24.8,-0.080,12.0,-2.60
SPY,CALL,MEAN_REVERSION,2025-10-29T13:26:00-04:00,2025-10-29T13:38:00-04:00,2.4762,2.5224,10,0.420,687.83,687.94,0.0187,46.20,TIME_STOP,56,12.0,20.3,-0.390,16.9,-1.92
SPY,CALL,MEAN_REVERSION,2025-10-29T14:35:00-04:00,2025-10-29T14:39:00-04:00,2.4681,1.6113,10,0.420,685.59,683.55,-0.3471,-856.80,STOP_LOSS,66,4.0,21.3,-0.472,17.6,-4.93
SPY,CALL,MEAN_REVERSION,2025-11-10T10:50:00-05:00,2025-11-10T10:52:00-05:00,2.4378,2.1312,10,0.420,677.17,676.44,-0.1258,-306.60,STOP_LOSS,76,2.0,18.5,-0.183,21.9,-2.65
SPY,CALL,MEAN_REVERSION,2025-11-13T10:47:00-05:00,2025-11-13T10:59:00-05:00,2.4342,2.5686,10,0.420,676.16,676.48,0.0552,134.40,TIME_STOP,66,12.0,16.6,-0.082,21.9,-2.67
SPY,CALL,MEAN_REVERSION,2025-11-17T11:15:00-05:00,2025-11-17T11:27:00-05:00,2.4055,3.0733,10,0.420,668.20,669.79,0.2776,667.80,TIME_STOP,52,12.0,23.9,-0.052,12.3,-2.40
SPY,CALL,MEAN_REVERSION,2025-11-20T11:00:00-05:00,2025-11-20T11:07:00-05:00,2.4205,2.0551,10,0.420,672.36,671.49,-0.1510,-365.40,STOP_LOSS,52,7.0,21.8,0.032,17.7,-2.18
SPY,PUT,MEAN_REVERSION,2025-11-21T11:38:00-05:00,2025-11-21T11:50:00-05:00,2.3656,2.0044,10,0.420,657.12,657.98,-0.1527,-361.20,STOP_LOSS,56,12.0,81.7,1.036,12.7,2.27
SPY,PUT,MEAN_REVERSION,2025-11-26T11:02:00-05:00,2025-11-26T11:14:00-05:00,2.4474,2.3046,10,0.420,679.83,680.17,-0.0583,-142.80,TIME_STOP,63,12.0,77.2,1.039,16.4,2.59
SPY,PUT,MEAN_REVERSION,2025-12-01T11:47:00-05:00,2025-12-01T11:59:00-05:00,2.4565,2.6413,10,0.420,682.37,681.93,0.0752,184.80,TIME_STOP,53,12.0,81.5,1.010,16.5,2.12
SPY,CALL,MEAN_REVERSION,2025-12-02T11:23:00-05:00,2025-12-02T11:31:00-05:00,2.4496,2.0548,10,0.420,680.44,679.50,-0.1612,-394.80,STOP_LOSS,52,8.0,20.6,-0.009,20.2,-2.66
SPY,PUT,MEAN_REVERSION,2025-12-03T10:35:00-05:00,2025-12-03T10:45:00-05:00,2.4579,2.4579,10,0.420,682.76,682.76,0.0000,0.00,BREAKEVEN_STOP,62,10.0,76.8,1.095,7.2,2.51
SPY,CALL,MEAN_REVERSION,2025-12-04T14:19:00-05:00,2025-12-04T14:22:00-05:00,2.4573,2.0709,10,0.420,682.57,681.65,-0.1572,-386.40,STOP_LOSS,67,3.0,17.0,-0.089,16.4,-2.05
SPY,PUT,MEAN_REVERSION,2025-12-22T11:14:00-05:00,2025-12-22T11:26:00-05:00,2.4647,2.4815,10,0.420,684.64,684.60,0.0068,16.80,TIME_STOP,60,12.0,77.6,1.073,11.8,2.82
SPY,PUT,MEAN_REVERSION,2025-12-22T12:53:00-05:00,2025-12-22T13:05:00-05:00,2.4666,2.5506,10,0.420,685.17,684.97,0.0341,84.00,TIME_STOP,53,12.0,78.4,1.114,16.2,1.87
SPY,CALL,MEAN_REVERSION,2025-12-29T12:26:00-05:00,2025-12-29T12:38:00-05:00,2.4709,2.4583,10,0.420,686.35,686.32,-0.0051,-12.60,TIME_STOP,52,12.0,21.7,-0.064,11.7,-2.14
SPY,PUT,MEAN_REVERSION,2026-01-05T10:29:00-05:00,2026-01-05T10:41:00-05:00,2.4787,2.5879,10,0.420,688.53,688.27,0.0441,109.20,TIME_STOP,63,12.0,76.5,1.105,21.4,2.97
SPY,PUT,MEAN_REVERSION,2026-01-07T11:44:00-05:00,2026-01-07T11:56:00-05:00,2.4955,2.3905,10,0.420,693.20,693.45,-0.0421,-105.00,TIME_STOP,62,12.0,78.6,1.260,11.7,2.29
SPY,PUT,MEAN_REVERSION,2026-01-07T12:08:00-05:00,2026-01-07T12:20:00-05:00,2.4981,2.5443,10,0.420,693.92,693.81,0.0185,46.20,TIME_STOP,58,12.0,84.7,0.959,21.9,2.69
